Option Name,Contact,Address,Size_1Bedroom,Size_2Bedrooms,Rent,Rent_1Bedroom,Rent_2Bedrooms,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info
[Oxford Pointe Apartment Homes](https://www.apartments.com/oxford-pointe-apartment-homes-thornton-co/dczmlbh/),844-699-7686,"[300 Russell Blvd, Thornton, CO 80229](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/300+Russell+Blvd,+Thornton,+CO+80229/data=!4m2!4m1!3e2)",650 Sq Ft,860 Sq Ft,"$1,149 - 1,649",1149-1299,1399-1484,Dogs Allowed: Breed restrictions may apply.  * $35 Monthly Pet Rent * $350 Fee * 65 lb Weight Limit * 2 Pet Limit,23.9 mi,29 mins,Surface Lot 1 space. By Permit Only,* Pool * Playground,* Dishwasher * Disposal * Granite Countertops * Pantry * Kitchen * Oven * Range * Refrigerator * Freezer,,* High Speed Internet Access * Wi-Fi * Washer/Dryer * Air Conditioning * Heating * Ceiling Fans * Smoke Free * Cable Ready * Tub/Shower * Handrails,* Hardwood Floors * Carpet * Dining Room * Family Room * Views * Walk-In Closets * Linen Closet * Window Coverings,6-12 month leases,* Package Service * Wi-Fi at Pool and Clubhouse * Laundry Facilities * Maintenance on site * Property Manager on Site * Video Patrol * Renters Insurance Program * Online Services * Planned Social Activities * Pet Play Area,* Built in 1973 * Renovated in Mar 2018 * 100 Units/3 Stories,,* Fenced Lot * Courtyard * Grill * Picnic Area * Lawn * Grill
[Riviera Apartments](https://www.apartments.com/riviera-apartments-northglenn-co/fmk555t/),844-295-1856,"[950 W 103rd Pl, Northglenn, CO 80260](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/950+W+103rd+Pl,+Northglenn,+CO+80260/data=!4m2!4m1!3e2)",580 Sq Ft,820 Sq Ft,"$1,224 - 1,474",1224,1474,Dogs and Cats Allowed * $35 Monthly Pet Rent * $350 Fee * 2 Pet Limit,18.200000000000003 mi,25 mins,Surface Lot 1 space. first come,* Pool * Basketball Court,* Dishwasher * Disposal * Kitchen * Range * Refrigerator,"* 10 minutes from Downtown * Affordable 1 and 2 Bedrooms * Easy Access to I-25 * Laundry Facilities on site * Library Near By * Near restaurants and shopping * Newly Renovated Units * On RTD bus line * Pets welcome * Professional On-Site Management * Swiming Pool * Under A New Management * Water, Sewer and Trash paid",* High Speed Internet Access * Air Conditioning * Ceiling Fans * Smoke Free * Tub/Shower,* Carpet * Views * Window Coverings,12 months,* Laundry Facilities * Trash Pickup - Door to Door * Public Transportation,* Built in 1973 * 100 Units/3 Stories,* Business Center,* Courtyard * Balcony
[Parkside Apartments](https://www.apartments.com/parkside-apartments-denver-co/130ec67/),720-961-7659,"[2300 W 76th Ave, Denver, CO 80221](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/2300+W+76th+Ave,+Denver,+CO+80221/data=!4m2!4m1!3e2)",680 Sq Ft,838 Sq Ft,"$1,169 - 1,659",1169,1469-1659,Dogs Allowed: Call for Restriction.  * $35 Monthly Pet Rent * $350 Fee * 65 lb Weight Limit * 2 Pet Limit,20.4 mi,23 mins,Surface Lot 1 space.,* Pool * Playground * Walking/Biking Trails,* Dishwasher * Disposal * Granite Countertops * Pantry * Kitchen * Oven * Range * Refrigerator * Breakfast Nook,* Black on Black Appliances * Central AC and Heat * New Carpet * Skylights 3rd floor only * Washer & Dryer in select Apartment Homes,* Washer/Dryer * Air Conditioning * Heating * Smoke Free * Cable Ready * Tub/Shower,* Hardwood Floors * Vinyl Flooring * Dining Room * Vaulted Ceiling * Views * Skylight * Walk-In Closets * Linen Closet * Window Coverings,12 months,* Package Service * Laundry Facilities * Maintenance on site * 24 Hour Availability * Trash Pickup - Curbside * Renters Insurance Program * Online Services * Planned Social Activities,* Built in 1977 * 132 Units/3 Stories,,* Sundeck * Courtyard * Grill * Picnic Area * Balcony * Patio * Porch * Deck * Yard * Lawn * Grill
[701 Arapahoe](https://www.apartments.com/701-arapahoe-boulder-co/dbvdtql/),844-601-1937,"[701 Arapahoe Ave, Boulder, CO 80302](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/701+Arapahoe+Ave,+Boulder,+CO+80302/data=!4m2!4m1!3e2)",,775 Sq Ft,"$1,700 ",,1700,Dogs Allowed: No aggressive breeds  * $800 Deposit * $30 Monthly Pet Rent * 70 lb Weight Limit * 2 Pet Limit,1.8 mi,8 mins,Surface Lot: $50 1 space.,,* Dishwasher * Disposal * Stainless Steel Appliances * Kitchen * Microwave * Oven * Range * Refrigerator,* corner unit * hardwood floor * ideal downtown location * laundry facilities on-site * mountain views * open floorplan * stainless appliances * third floor * top floor,* High Speed Internet Access * Heating * Smoke Free * Cable Ready * Storage Units * Tub/Shower,,6-13 months,* Laundry Facilities,* Built in 1961 * 29 Units/3 Stories,,* Courtyard
[Blue Sky Lofts](https://www.apartments.com/blue-sky-lofts-boulder-co/p08clmt/),844-578-2599,"[2905 Aurora Ave, Boulder, CO 80303](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/2905+Aurora+Ave,+Boulder,+CO+80303/data=!4m2!4m1!3e2)",,,"$1,025 ",,,No Pets Allowed,1.2 mi,5 mins,Surface Lot $200 ONE time fee for Off Street Parking. (Unassigned Surface Lot Parking),* Fitness Center * Pool,* Stainless Steel Appliances * Oven * Range * Refrigerator,,* High Speed Internet Access * Fireplace * Wheelchair Accessible (Rooms),* Sunroom,12 Month Lease,* Package Service * Laundry Facilities * Maintenance on site * Property Manager on Site * Recycling * Guest Apartment,* Built in 1981 * 109 Units/3 Stories,* Clubhouse,* Grill * Picnic Area * Patio
[Nest Communities](https://www.apartments.com/nest-communities-boulder-co/yw9cnjv/),720-909-8153,"[4990 Osage Dr, Boulder, CO 80303](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/4990+Osage+Dr,+Boulder,+CO+80303/data=!4m2!4m1!3e2)",,839 Sq Ft,Call for Rent,,,"Dogs Allowed 2 walking pets per home, no weight limit  * $50 Monthly Pet Rent * $300 Fee",3.1500000000000004 mi,8 mins,Surface Lot 1 space.,,* Dishwasher * Disposal * Kitchen * Range,"* Community Tot Lot at Thunderbird * Easy Access to Public Transportation * Landscaped Grounds * Newly Renovated 1, 2, & 3 Bedroom * Plenty of Counter Space & Cabinets * Trash Included",* High Speed Internet Access * Air Conditioning * Heating * Ceiling Fans * Smoke Free * Storage Units * Tub/Shower,* Views * Walk-In Closets * Window Coverings,12 Months,* Laundry Facilities * Property Manager on Site * 24 Hour Availability,* Built in 1974 * 238 Units/3 Stories,,* Courtyard * Balcony
[Stonegate Apartments](https://www.apartments.com/stonegate-apartments-broomfield-co/vsjj9wg/),844-248-1695,"[11815 Ridge Pky, Broomfield, CO 80021](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/11815+Ridge+Pky,+Broomfield,+CO+80021/data=!4m2!4m1!3e2)",853 Sq Ft,"1,093 Sq Ft","$1,245 - 2,404",1245-1951,1534-2221,Dogs and Cats Allowed: Breed Restrictions Apply. See List in Items of Interest Pets Upon Approval. Pet Restrictions: No visiting pets allowed at any time. Three pets maximum. No height/weight restrictions. Breed restrictions do apply.  * $300 Deposit * $35 Monthly Pet Rent * $100 Fee * 3 Pet Limit,12.45 mi,18 mins,Surface Lot 1 space.,* Fitness Center * Spa * Pool * Playground * Walking/Biking Trails,* Dishwasher * Disposal * Ice Maker * Stainless Steel Appliances * Pantry * Kitchen * Microwave * Oven * Range * Refrigerator * Freezer,* 24-Hour Fitness Center * 9 Foot Ceilings * Access Controlled Community * Air Conditioning * Attached Garage * Ceiling Fans * Fully-Equipped Kitchen * Garages Available * Garden Tub * Gas Fireplace * Hot Tub * In-Home Washer and Dryer * Near Flat Irons Mall * Outdoor Grilling Area * Package Service * Private Balcony * Recycling * Reserved Parking * Smoke Free Living * Storage Available * Swimming Pool * Views of City and Mountain * Walk-In Closets,* High Speed Internet Access * Washer/Dryer * Air Conditioning * Heating * Ceiling Fans * Smoke Free * Cable Ready * Storage Units * Tub/Shower * Fireplace * Sprinkler System,* Carpet * Vinyl Flooring * Dining Room * Built-In Bookshelves * Crown Molding * Views * Walk-In Closets * Linen Closet * Window Coverings,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14",* Package Service * Wi-Fi at Pool and Clubhouse * Maintenance on site * Property Manager on Site * Recycling * Renters Insurance Program * Online Services * Pet Play Area * Pet Washing Station,* Built in 2002 * 350 Units/3 Stories,* Business Center * Clubhouse,* Gated * Courtyard * Balcony * Patio * Grill
[Ute Creek Apartments](https://www.apartments.com/ute-creek-apartments-longmont-co/hlbvdg3/),888-352-8271,"[1100 E 17th Ave, Longmont, CO 80504](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/1100+E+17th+Ave,+Longmont,+CO+80504/data=!4m2!4m1!3e2)",808 Sq Ft,"1,058 Sq Ft","$1,350 - 1,610",1350,1525-1610,Dogs Allowed: $200 pet fee. Breed restrictions apply. Pet Rent: $25 per pet.  * $35 Monthly Pet Rent * $200 Fee * 90 lb Weight Limit * 2 Pet Limit,18.65 mi,30 mins,Surface Lot 1 space. Garages with automatic openers.,* Fitness Center * Spa * Pool,* Dishwasher * Disposal * Stainless Steel Appliances * Pantry * Kitchen * Microwave * Oven * Range * Refrigerator * Freezer,* 24hr. Emergency Maintenance * Adjacent to Ute Creek Golf Course * Air Conditioning - Central Air * Bike Racks * Business Center * Cable * Close to I-25 * Community Gas Grill/BBQ Area * Green and Flowered Areas * Jogging Trail * Newly Renovated Apartments * Off-Leash Park * Pet Wash Station * Renovated Clubhouse & Fitness Center * Senior Discounts * Sparkling Pool * Wired for DirecTV or Comcast * Wired for High-Speed Internet * Wireless Internet Available at Clubhouse/Pool * Year Round Spa,* High Speed Internet Access * Washer/Dryer * Air Conditioning * Heating * Smoke Free * Cable Ready * Satellite TV * Storage Units * Tub/Shower * Fireplace * Sprinkler System,* Carpet * Tile Floors * Vinyl Flooring * Built-In Bookshelves * Bay Window * Views * Walk-In Closets * Linen Closet * Window Coverings,3 - 15 Month Leases,* Package Service * Wi-Fi at Pool and Clubhouse * Maintenance on site * Property Manager on Site * Recycling * Renters Insurance Program * Online Services * Pet Care * Pet Play Area * Pet Washing Station,* Built in 1999 * Renovated in Jan 2014 * 210 Units/3 Stories,* Business Center * Clubhouse * Storage Space,* Grill * Picnic Area * Balcony * Patio * Lawn * Grill
[Copper Peak Apartments](https://www.apartments.com/copper-peak-apartments-longmont-co/cm1ynse/),844-836-4841,"[2770 Copper Peak Ln, Longmont, CO 80504](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/2770+Copper+Peak+Ln,+Longmont,+CO+80504/data=!4m2!4m1!3e2)",695 Sq Ft,965 Sq Ft,Call for Rent,,,Dogs Allowed: Breed Restrictions  * $150 Deposit * $25 Monthly Pet Rent * $150 Fee * 2 Pet Limit,18.25 mi,31 mins,Surface Lot,* Fitness Center * Pool * Playground * Bike Storage * Gameroom,* Dishwasher * Eat-in Kitchen * Kitchen * Microwave * Oven * Range * Refrigerator * Breakfast Nook,,* High Speed Internet Access * Wi-Fi * Washer/Dryer * Air Conditioning * Heating * Ceiling Fans * Smoke Free * Cable Ready * Satellite TV * Tub/Shower * Sprinkler System * Wheelchair Accessible (Rooms),* Hardwood Floors * Carpet * Dining Room * Walk-In Closets * Double Pane Windows * Window Coverings,6 - 12 Month Leases,* Package Service * Maintenance on site * Property Manager on Site * 24 Hour Availability * Renters Insurance Program * Online Services * Planned Social Activities,* Built in 2016 * 240 Units/3 Stories,* Business Center * Clubhouse * Lounge,* Grill * Picnic Area * Balcony * Patio * Porch * Deck * Grill
[Avena Apartments](https://www.apartments.com/avena-apartments-thornton-co/tf5q9j9/),720-343-8241,"[1882 E 104th Ave, Thornton, CO 80233](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/1882+E+104th+Ave,+Thornton,+CO+80233/data=!4m2!4m1!3e2)",719 Sq Ft,952 Sq Ft,"$1,338 - 1,923",1338-1439,1561-1721,"Dogs Allowed: No weight restrictions, breed restrictions apply. Two pets maximum per apartment. Cats and Dogs only, no puppies. See office for details.  * $150 Deposit * $35 Monthly Pet Rent * $200 Fee * 2 Pet Limit",20.05 mi,32 mins,Surface Lot 1 space.,* Fitness Center * Spa * Pool * Playground,* Dishwasher * Disposal * Microwave * Range * Refrigerator,"* 1st Floor * 24 Hour Fitness Center * 2nd Floor * 2nd Floor (3rd Story Bldg) * 3 Hour Service Response Time * 3rd Floor * Access for Disabled * ADA Compliant * Air Conditioning and Central Heating * BBQ Grilling Stations * Build Your Credit Using RentPlus (R)  * Built in Computer Desk * Built-in Computer Desk* * Community Business Center * Convenient Access to I-25,I-76,I-36,E-470 and DIA * Cool Off at Our Splash Park * Courtesy Night Patrol * Covered Parking * Dishwasher, Fridge, and Microwave in All Units * Double Sink Vanity * Double Sink Vanity* * Easy Access to I-25 and Highway 76 * Easy Online Rent Payments * Enjoy Your Own Private Patio or Balcony * Facing East * Facing North * Facing South * Facing West * Fireplace * Get Some Fresh Air at Our Dog Park * Have Some Fun at our Two Playground Areas * High 9ft. Ceilings * Island Kitchen* * Kitchen Island * Mountain View * Nature Trail View * One, Two, and Three Bedroom Floorplans * Pet Friendly with Dog Run * Playground/Tot Lot * Pool View * Projection Movie Theatre * Reserved Covered Parking Available * Short Term Lease Available (2-13 Months) * Smart Apartment Mobile Features Offered * Smart Home * Smart Home Features Available * Spacious Garage Available * Spacious Walk-In Closet * Splash Park * Submit Service Requests Conveniently Online * Take a Dip in Our Refreshing Pool and Spa Area * Tasteful Wood grained Flooring in Kitchen and Hall * Updater© Free Moving Concierge * Upgraded Appliance Packages * Walking Distance to Thorton and Northglenn * Washer * Washer and Dryer Included * We Love Pets! * Within Close Proximity to Lambertson Lakes Trail * Within Close Proximity to Northglenn Marketplace * Year Round Pool",* High Speed Internet Access * Washer/Dryer * Air Conditioning * Heating * Ceiling Fans * Cable Ready * Fireplace * Wheelchair Accessible (Rooms),* Hardwood Floors * Carpet * Views * Walk-In Closets * Window Coverings,,* Maintenance on site * Property Manager on Site,* Built in 2009 * 385 Units/3 Stories,* Business Center * Clubhouse,* Courtyard * Balcony
[Advenir at Wyndham](https://www.apartments.com/advenir-at-wyndham-longmont-co/t2mygrb/),844-356-2922,"[2540 Sunset Dr, Longmont, CO 80501](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/2540+Sunset+Dr,+Longmont,+CO+80501/data=!4m2!4m1!3e2)",539 Sq Ft,876 Sq Ft,"$1,246 - 2,124",1246-1790,1317-2124,Dogs Allowed Dog  * $35 Monthly Pet Rent * $350 Fee * 2 Pet Limit,16.15 mi,26 mins,Surface Lot 1 space. Ample Parking,* Fitness Center * Pool,* Dishwasher * Range,* Access to Public Transportation * BBQ/Picnic areas * Bicycle Repair Station * Clubhouse With Wi-Fi * Dog Wash * Garages Available * Individual Climate Control * Other * Pet Friendly * Public Parks Nearby * Resident Events * Spa * Swimming Pool * Washer / Dryer,* Washer/Dryer * Heating * Fireplace,* Walk-In Closets,,,* Built in 1986 * 360 Units/3 Stories,,* Balcony * Patio
[Luna Bella](https://www.apartments.com/luna-bella-lafayette-co/znwle9x/),844-386-4168,"[695 S Lafayette Dr, Lafayette, CO 80026](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/695+S+Lafayette+Dr,+Lafayette,+CO+80026/data=!4m2!4m1!3e2)",725 Sq Ft,985 Sq Ft,"$1,500 - 2,030",1500-1642,1727-2030,"Dogs and Cats Allowed: We welcome your pets in our community. There is 65 lb weight limit and some breed restrictions apply. Restricted dog breeds include Pit Bull, Staffordshire Terrier, Rottweiler, German Shepherds, Alaskan Malamutes, Doberman, Mastiff, Chow, Dalmatian, Akita, Bull Terrier, and American Bull Dog. Vet documentation is required to provide proof of age, weight, and breed. For more information, please call our leasing office.  * $250 Deposit * $25 Monthly Pet Rent * $250 Fee * 65 lb Weight Limit * 2 Pet Limit",14.15 mi,20 mins,Surface Lot,* Fitness Center * Spa * Pool * Volleyball Court,* Range,"* 2,000 Sq Ft Fitness Center * BBQ/Picnic Area * Conference Room * Featuring a 5400 square foot Clubhouse * Four Lane Year-Round Heated Junior Pool * Free Standing Yoga Studio * Heated 24hr Bike Maintenance and Repair * Lavish Community Events * Lighted Bocce, and Horseshoe Courts * Onsite Car Wash (Seasonal) * Patio/Balcony * Pet Friendly Community * Pet Park * Two Electric Car Charging Stations * Washer and Dryer in Home * Washer/Dryer in Unit",* High Speed Internet Access * Washer/Dryer * Storage Units,* Walk-In Closets * Window Coverings,None,* Pet Care,* Built in 2015 * 240 Units/3 Stories,* Business Center * Clubhouse * Storage Space,* Sundeck * Balcony * Patio
[1155 Marine Street](https://www.apartments.com/1155-marine-street-boulder-co/eq9b0bq/),844-278-4327,"[1155 Marine St, Boulder, CO 80302](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/1155+Marine+St,+Boulder,+CO+80302/data=!4m2!4m1!3e2)",690 Sq Ft,,"$1,725 - 1,900",1725-1900,,Dogs Allowed * $250 Deposit * $50 Monthly Pet Rent,1.5 mi,6 mins,Surface Lot Parking Available,* Fitness Center * Spa * Pool,,"* 2 On-site Laundry Facilities * Balcony * BBQ/Picnic Area * Carpeting * Courtyard * Dishwasher * Disposal * Efficient Appliances * Extra Storage Available * Full kitchen w/microwave, dishwasher, disposal * Green Building * Hardwood Floors * Individual Air Conditioning * Indoor Corridor * Large Closets * Lots of Cabinet & Counter Space * Microwave * Off Street Parking * Outside Storage * Refrigerator * Student Housing in Boulder, CO * Walk to Pearl Street Mall * Washer/Dryer * Window Coverings",* High Speed Internet Access * Air Conditioning * Cable Ready * Storage Units,* Views,12,* Laundry Facilities * Property Manager on Site * Security System,* Built in 1963 * 92 Units/4 Stories,* Elevator,* Cabana * Balcony
[The Lodge](https://www.apartments.com/the-lodge-boulder-co/qgd3c5z/),844-451-7605,"[2900 E Aurora Ave, Boulder, CO 80303](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/2900+E+Aurora+Ave,+Boulder,+CO+80303/data=!4m2!4m1!3e2)",464 Sq Ft,610 Sq Ft,"$1,425 - 2,150",1425-1595,1890-2150,Dogs and Cats Allowed * $250 Deposit * $50 Monthly Pet Rent * $250 Fee * 2 Pet Limit,1.2 mi,4 mins,Surface Lot: $55 1 space.,* Pool * Bike Storage * Volleyball Court,* Dishwasher * Disposal * Kitchen * Microwave * Range * Refrigerator,"* Air Conditioner * Bike Racks * Cable Ready * Close to Parks, Trails and Outdoor Recreation * Close to Public Transportation * Dishwasher * Hardwood Flooring * Hardwood Floors * Large Closets * Located in Boulders East University Neighborhood * Microwave * Modern Fixtures and Updates * New Renovated Studios, One, Two and Three Bedrooms * Off Street Parking * One Block From CU Boulder Campus * Outdoor Swimming Pool * Professionally Managed Community * Recycling * Refrigerator * Stainless Steel Appliances * Student Apartments with Individual Locking Rooms * Washer and Dryer Included * Washer/Dryer * Window Coverings",* High Speed Internet Access * Washer/Dryer * Air Conditioning * Heating * Ceiling Fans * Smoke Free * Storage Units * Tub/Shower * Wheelchair Accessible (Rooms),* Hardwood Floors * Carpet * Walk-In Closets * Window Coverings,12,* Package Service * Laundry Facilities * Property Manager on Site * Laundry Service * Public Transportation,* Built in 1973 * Renovated in Oct 2016 * 286 Units/3 Stories,* Clubhouse,* Balcony * Yard
[26 Emery Way](https://www.apartments.com/26-emery-way-longmont-co/7nlx7sy/),855-249-4695,"[26 Emery Way, Longmont, CO 80501](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/26+Emery+Way,+Longmont,+CO+80501/data=!4m2!4m1!3e2)",,754 Sq Ft,"$1,195 - 1,250",,1195-1250,No Pets Allowed,17.35 mi,30 mins,Surface Lot Assigned Parking.,,* Dishwasher * Disposal * Stainless Steel Appliances * Kitchen * Microwave * Oven * Range * Refrigerator,* Air Conditioner * BBQ/Picnic Area * Bike Racks * Cable Ready * Carpeting * Courtyard * Dishwasher * Gas Range * Off Street Parking * Patio/Balcony * Refrigerator * Spanish Speaking Staff * Window Coverings,* Washer/Dryer * Air Conditioning * Heating * Cable Ready * Storage Units,* Hardwood Floors * Carpet * Tile Floors,12,* Laundry Facilities,* Built in 1970 * 24 Units/2 Stories,,* Courtyard * Balcony * Yard * Lawn
[1707 22nd Street](https://www.apartments.com/1707-22nd-street-boulder-co/4rjv87l/),303-872-4100,"[1707 22nd St, Boulder, CO 80302](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/1707+22nd+St,+Boulder,+CO+80302/data=!4m2!4m1!3e2)",540 Sq Ft,,"$1,625 - 1,795",1625-1795,,Pets Negotiable,0.6 mi,3 mins,Surface Lot 1 space.,,* Dishwasher * Disposal * Stainless Steel Appliances * Kitchen * Oven * Range * Refrigerator * Freezer,* Carpeting * Dishwasher * Hardwood Floors * Off Street Parking * Refrigerator * Washer/Dryer * Window Coverings,* Washer/Dryer * Air Conditioning * Heating * Smoke Free * Tub/Shower,* Hardwood Floors * Carpet * Vinyl Flooring * Views * Linen Closet * Window Coverings,12,* Laundry Facilities,* Built in 1971 * 23 Units/3 Stories,,
[Madison Park](https://www.apartments.com/madison-park-thornton-co/374n9ze/),844-654-7155,"[3351 E 120th Ave, Thornton, CO 80233](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/3351+E+120th+Ave,+Thornton,+CO+80233/data=!4m2!4m1!3e2)",808 Sq Ft,"1,093 Sq Ft","$1,220 - 2,865",1455-2040,1620-2310,"Dogs Allowed Rent and fees are per pet. We do not allow Pit Bulls or any mix combination of this breed. Based on our community’s location, there may be other breed restrictions that we follow in accordance with laws and local ordinances.  * $200 Deposit * $25 Monthly Pet Rent * $100 Fee * 2 Pet Limit",25.75 mi,31 mins,Surface Lot Assigned Parking.,* Fitness Center * Spa * Pool * Playground,* Dishwasher * Disposal * Microwave * Refrigerator,* ADA Accessible * Air Conditioner * Cable Ready * Carpeting * Ceiling Fan * Dishwasher * Disposal * Extra Storage * Fireplace * Flexible Lease Terms * Free Weights * High Ceilings * Large Closets * Media Room * Microwave * Patio/Balcony * Private Balcony or Patio * Recycling * Refrigerator * Vaulted Ceiling * Washer/Dryer * Window Coverings,* High Speed Internet Access * Washer/Dryer * Ceiling Fans * Cable Ready * Fireplace,,None,* Package Service * Maintenance on site * Property Manager on Site * 24 Hour Availability * Public Transportation,* Built in 2003 * 344 Units/2 Stories,* Business Center * Clubhouse * Storage Space,* Sundeck
[2734 Juniper Ave](https://www.apartments.com/2734-juniper-ave-boulder-co/0sjgqs1/),844-455-5116,"[2734 Juniper Ave, Boulder, CO 80304](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/2734+Juniper+Ave,+Boulder,+CO+80304/data=!4m2!4m1!3e2)",700 Sq Ft,900 Sq Ft,"$1,695 - 1,825",1695-1775,1745-1825,Pets Negotiable,2.0 mi,8 mins,Surface Lot 1 space; Assigned Parking.,,* Dishwasher * Disposal * Granite Countertops * Stainless Steel Appliances * Kitchen * Microwave * Range * Refrigerator,* BBQ/Picnic Area * Carpeting * Carport * Ceiling Fan * Dishwasher * Fireplace * Microwave * Off Street Parking * Refrigerator * Remodeled,* Washer/Dryer * Washer/Dryer Hookup * Heating * Ceiling Fans * Smoke Free * Tub/Shower * Fireplace,* Hardwood Floors * Carpet * Walk-In Closets,12,* Laundry Facilities,* Built in 1987 * 52 Units/2 Stories,,* Courtyard * Balcony * Patio * Deck
[Carriage Hill](https://www.apartments.com/carriage-hill-thornton-co/q9vl0zw/),833-683-0682,"[8901 Huron St, Thornton, CO 80260](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/8901+Huron+St,+Thornton,+CO+80260/data=!4m2!4m1!3e2)",630 Sq Ft,828 Sq Ft,"$1,100 - 1,350",1100,1350,Dogs Allowed: Breed Restrictions Apply. Additional fee for second pet.  * $200 Deposit * $25 Monthly Pet Rent * $100 Fee * 1 Pet Limit,22.05 mi,28 mins,Surface Lot 1 space.,* Sauna * Spa * Pool * Basketball Court,* Dishwasher * Disposal * Granite Countertops * Kitchen * Refrigerator,* Air Conditioner * BBQ/Picnic Area * Carpeting * Ceiling Fan * Dishwasher * Hardwood Floors * Patio/Balcony * Refrigerator,* High Speed Internet Access * Air Conditioning * Heating * Ceiling Fans * Cable Ready * Tub/Shower,* Hardwood Floors * Carpet * Walk-In Closets * Linen Closet,None,* Laundry Facilities * Maintenance on site * Property Manager on Site,* Built in 1972 * 103 Units/2 Stories,,* Picnic Area * Balcony * Patio * Yard
[Garden Park Townhomes](https://www.apartments.com/garden-park-townhomes-longmont-co/404dj4j/),844-253-3245,"[1201 21st Ave, Longmont, CO 80501](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/1201+21st+Ave,+Longmont,+CO+80501/data=!4m2!4m1!3e2)",,"1,100 Sq Ft","$1,500 ",,1500,No Pets Allowed,17.0 mi,28 mins,Garage 2 spaces; Assigned Parking. Each Unit Comes With a Detached 2 Car Garage.,,* Dishwasher * Disposal * Kitchen * Oven * Range * Refrigerator,* 2 Car Garage Detached W/ Electric Opener,* Washer/Dryer Hookup * Air Conditioning * Heating * Ceiling Fans * Smoke Free * Double Vanities * Tub/Shower,* Carpet * Vinyl Flooring * Vaulted Ceiling * Bay Window * Linen Closet * Window Coverings * Large Bedrooms,12 months,,* Built in 1984 * 16 Units/2 Stories,,* Balcony * Patio * Porch * Lawn
[Z53](https://www.apartments.com/z53-denver-co/gnldv2w/),303-217-2985,"[5370 Zuni St, Denver, CO 80221](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/5370+Zuni+St,+Denver,+CO+80221/data=!4m2!4m1!3e2)",532 Sq Ft,792 Sq Ft,"$1,163 - 1,347",1163,1343-1347,"Dogs and Cats Allowed: We welcome 2 pets per apartment home. There is a $150 non refundable fee and a $200 pet deposit fee. Pet rent is $35 per month for one pet and $45 per month for two pets. Restricted breeds: pit bulls, rottweilers, German shepherds, dobermans, chows, presa canarios, akitas, wolf hybrids and huskies. Please call our leasing office for more information.  * $200 Deposit * $45 Monthly Pet Rent * $150 Fee * 2 Pet Limit",22.1 mi,28 mins,Surface Lot 2 spaces. Permit Parking Only,* Playground,* Dishwasher * Disposal * Kitchen * Oven * Range * Refrigerator,* Air Conditioning * Cable or Satellite * Ceiling Fans * Close to Public Transportation * Freeway Access * Internet Access * New Updated Laundry Rooms * On Line Rent Pay * Playground * RTD- Bus & Lightrail * Walk-In Closets,* Air Conditioning * Heating * Ceiling Fans * Cable Ready * Tub/Shower,* Carpet * Vinyl Flooring * Dining Room * Walk-In Closets * Linen Closet * Large Bedrooms,"2 months,3 months,6 months,7 months,9 months,12 months,13 months",* Laundry Facilities * Maintenance on site * Property Manager on Site * Pet Care,* Built in 1973 * 54 Units/3 Stories,* Vintage Building,
