Option Name,Contact,Address,Size_1Bedroom,Size_2Bedrooms,Rent,Rent_1Bedroom,Rent_2Bedrooms,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info
[Hearthstone](https://www.apartments.com/hearthstone-aurora-co/vtdt9tg/),866-506-4924,"[932 S Helena Way, Aurora, CO 80017](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/932+S+Helena+Way,+Aurora,+CO+80017/data=!4m2!4m1!3e2)",720 Sq Ft,840 Sq Ft,"$1,183 - 2,797",1183-2076,1290-2797,"Dogs and Cats Allowed: Breed Restriction Apply Deposit: $295 for 1st, add. $100 for 2nd. Rent: $35 for 1, $60 for 2  * $295 Deposit * $35 Monthly Pet Rent * $295 - 395 Fee * 2 Pet Limit",16.9 mi,27 mins,Surface Lot 1 space.,* Fitness Center * Sauna * Pool * Playground * Basketball Court,* Dishwasher,* Air Conditioner * Bark Park * BBQ Grills * BBQ/Picnic Area * Dishwasher * Fireplace * Hardwood Floors * In-Home Washer & Dryer * In-Home Washer & Dryer Connections * Large Closets * Patio/Balcony * Sauna * Upgraded Flooring,* High Speed Internet Access * Washer/Dryer * Air Conditioning * Storage Units * Fireplace,* Hardwood Floors * Walk-In Closets,None,* Laundry Facilities,* Built in 1982 * Renovated in Jan 2010 * 360 Units/2 Stories,* Business Center * Lounge,* Picnic Area * Balcony * Patio
[Regatta Sloan's Lake](https://www.apartments.com/regatta-sloans-lake-denver-co/g19htcy/),855-719-2696,"[1550 Raleigh St, Denver, CO 80204](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/1550+Raleigh+St,+Denver,+CO+80204/data=!4m2!4m1!3e2)",694 - 728 Sq Ft,"1,081 Sq Ft","$1,445 - 4,364",1705-3273,2143-4364,"Dogs, Cats and Other Pets Allowed * $35 Monthly Pet Rent * 2 Pet Limit",3.05 mi,11 mins,Surface Lot and Garage 1 space.,* Fitness Center * Spa * Pool * Bike Storage * Walking/Biking Trails,* Dishwasher * Stainless Steel Appliances * Microwave * Range * Refrigerator * Freezer,* 9-Foot Ceilings and Ceiling Fans* * Additional Storage Available* * Artfully Designed Kitchens * Built-In Bluetooth Speakers* * Ceiling Fans* * Comfortable Bedrooms * Community Kitchen * Conference Room* * Convenient Bike Storage * Direct-Access Entrances* * Dog Wash Room * Dog Wash Room. We Love Pets!* * Expansive Walk-In Closets * Game Area with Shuffleboard * Granite Countertops * Individual Storage Spaces for Rent * Kayaks * LIVE HERE. PAY RENT. BUILD CREDIT. * Outdoor Movie Theater * Paddle Boards * Patio Dining Areas & Cozy Fire Pits * Rooftop Deck with Grills * Sloan’s Tap and Burger Downstairs * Soaring 9- to 20-Foot Ceilings * Spacious Walk-Out Balconies or Patios * Sparkling Bathrooms * Spin Room with Panoramic Mountain Views * Stainless Steel Appliance Package * Three-Foot Wide Relaxation Tubs* * Two Relaxing Outdoor Courtyards * Two-Story Loft with 20-Foot Ceilings* * Undermount Stainless Steel Kitchen Sinks * USB Ports in Kitchens and Bedrooms,* Washer/Dryer * Air Conditioning * Heating * Ceiling Fans * Wheelchair Accessible (Rooms),* Walk-In Closets,None,* Trash Pickup - Door to Door,* Built in 2015 * 369 Units/4 Stories * Energy Star Rated,* Business Center * Clubhouse * Storage Space,* Roof Terrace * Grill * Lake Access * Balcony
[The Crossings at Bear Creek](https://www.apartments.com/the-crossings-at-bear-creek-lakewood-co/d0w492j/),888-878-5446,"[10117 W Dartmouth Pl, Lakewood, CO 80227](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/10117+W+Dartmouth+Pl,+Lakewood,+CO+80227/data=!4m2!4m1!3e2)",745 Sq Ft,"1,075 Sq Ft","$1,336 - 2,164",1336-1410,1635-1899,"Dogs Allowed Pet Policy Dogs Allowed $200 Deposit  $30 Monthly Pet Rent $300 Fee 100 lb Weight Limit 1 Pet Limit Must Be Spayed/Neutered Cats Allowed: We welcome pets at our community. Breed restrictions apply. Puppies accepted. Deposits and fees may apply, p...  * $200 Deposit * $30 Monthly Pet Rent * $300 Fee * 2 Pet Limit * Must Be Spayed/Neutered",13.149999999999999 mi,21 mins,Surface Lot,* Fitness Center * Spa * Pool * Walking/Biking Trails * Gameroom,* Dishwasher * Disposal * Ice Maker * Granite Countertops * Stainless Steel Appliances * Pantry * Eat-in Kitchen * Kitchen * Microwave * Oven * Range * Refrigerator * Freezer,* 24 Hour Complimentary Starbucks Coffee Bar * 24 Hour Fitness Room (ask for details) * Barbecue Area with Gas Grills * Beautiful Landscaping * Brand 24 Hour New Fitness Center * Brand New 24 Hour Fitness Center * Brand New Clubhouse * Breathtaking Creek side and wildlife views * Clubhouse * Complimentary Tanning Bed * Dryer * Fireplaces in Select Homes * Internet Cafe * Internet Lounge * Located on Bear Creek * Minutes away from popular ski resorts * Minutes from Mountains * Online Payments Accepted * Outdoor Kitchen & Fire Pit * Oversized Closets * Oversized Tubs in Select Homes * Partnered With EPremiuminsurance.Com * Pet Friendly * Pets Welcome* * Private Access to Bear Creek * Resort-Style Pool & Spa * Responsive Maintenance Team * Sparkling Pool & Spa * Tanning Bed * Washer,* High Speed Internet Access * Wi-Fi * Washer/Dryer * Air Conditioning * Heating * Ceiling Fans * Cable Ready * Security System * Trash Compactor * Storage Units * Double Vanities * Tub/Shower * Fireplace * Sprinkler System * Framed Mirrors,* Hardwood Floors * Carpet * Tile Floors * Vinyl Flooring * Dining Room * Family Room * Office * Recreation Room * Crown Molding * Vaulted Ceiling * Views * Skylight * Linen Closet * Double Pane Windows * Window Coverings,,* Package Service * Wi-Fi at Pool and Clubhouse * Maintenance on site * Property Manager on Site * Security System * Video Patrol * 24 Hour Availability * Renters Insurance Program * Grocery Service,* Built in 1996 * 224 Units/3 Stories,* Elevator * Business Center * Clubhouse * Lounge * Multi Use Room * Breakfast/Coffee Concierge * Storage Space * Tanning Salon,* Courtyard * Grill * Balcony * Patio * Porch * Deck * Yard * Grill * Garden
[2828 Zuni](https://www.apartments.com/2828-zuni-denver-co/ttsgn2b/),844-874-4394,"[2828 Zuni St, Denver, CO 80211](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/2828+Zuni+St,+Denver,+CO+80211/data=!4m2!4m1!3e2)","1,060 Sq Ft",987 Sq Ft,"$1,851 - 6,553",1851-5574,2280-6553,Dogs and Cats Allowed: Breed Restrictions apply.  * $100 Deposit * $25 Monthly Pet Rent * $300 Fee * 2 Pet Limit,1.4 mi,7 mins,Surface Lot,* Fitness Center,* Dishwasher * Disposal * Microwave,"* 1st Floor * 2nd Floor * 3rd Floor * 4th Floor * 5th Floor * 9' to 11' Ceilings * Air Conditioner * BBQ/Picnic Area * Bike Storage * Built-In Desk with USB Charger* * Ceiling Fan * Ceiling Fan in All Bedrooms * City View * Coffee Bar * Controlled Access and Reserved Parking * Dishwasher * Disposal * Easy Access to I-25, Speer Boulevard and I-70 * Extra Storage * Free Weights * Full-Size Washer and Dryer * Granite Countertops in Kitchen and Bath * Hardwood Floors * High Ceilings * Just Blocks from Highland Pedestrian Bridge * Linen Cabinet in Baths* * Microwave * Mountain View * Outdoor Grill for Dining * Outdoor Lounge Area with Fire Pit * Oversized Windows with 2-Inch Blind * Package Receiving * Pantry in Kitchen* * Partial View * Patio * Patio Large * Patio Medium * Pet Friendly * Polished Concrete or Plank Flooring * Private Terrace or Balcony* * Refrigerator * Spectacular Downtown or Mountain Views* * Stainless Steel Appliances * Storage Rooms Available for Rent * Terrace View * Tile Backsplash in Kitchen * Walk-In Closets * Washer/Dryer",* High Speed Internet Access * Smoke Free * Cable Ready,* Carpet * Linen Closet,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",* Package Service * Maintenance on site * Property Manager on Site * 24 Hour Availability * Recycling * Online Services * Car Charging Station,* Built in 2014 * 105 Units/5 Stories * Energy Star Rated,* Elevator * Clubhouse,* Gated * Sundeck * Courtyard * Picnic Area * Deck * Grill
[Retreat at City Center](https://www.apartments.com/retreat-at-city-center-aurora-co/fpw76rt/),877-841-1664,"[820 S Cimarron Way, Aurora, CO 80012](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/820+S+Cimarron+Way,+Aurora,+CO+80012/data=!4m2!4m1!3e2)",647 Sq Ft,"1,138 - 1,160 Sq Ft","$1,286 - 1,970",1286-1644,1649-1970,Dogs and Cats Allowed No monthly pet rent or security deposit! Cats and most breeds of dogs under 75 lbs are welcome. Please check with a leasing consultant for specific pet guidelines.  * $300 Fee * 75 lb Weight Limit * 2 Pet Limit,17.1 mi,25 mins,Garage One complimentary covered parking spot per bedroom,* Fitness Center * Spa * Pool * Playground * Bike Storage,* Dishwasher * Disposal * Ice Maker * Granite Countertops * Pantry * Island Kitchen * Kitchen * Microwave * Oven * Range * Refrigerator * Freezer,* 9-foot ceilings and crown moulding * Ample closet space * Built-in office nook * Central air conditioning and heating * Club house with coffee bar and billiards * Electric fireplace* * Fully equipped kitchen with granite counters * Heated pool and year-round hot tub * High quality fixtures and finishes * In-suite washer and dryer * One free covered parking spot per bedroom * Oversized garden tub and separate shower * Private balcony or patio * Walking distance to R Line station * Wood-style plank flooring and plush carpeting,* High Speed Internet Access * Washer/Dryer * Air Conditioning * Heating * Ceiling Fans * Cable Ready * Trash Compactor * Storage Units * Tub/Shower * Fireplace * Sprinkler System * Wheelchair Accessible (Rooms),* Hardwood Floors * Carpet * Dining Room * Family Room * Mud Room * Crown Molding * Vaulted Ceiling * Views * Walk-In Closets,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14",* Package Service * Wi-Fi at Pool and Clubhouse * Controlled Access * Maintenance on site * Property Manager on Site * 24 Hour Availability * Trash Pickup - Door to Door * Online Services * Planned Social Activities,* Built in 2003 * 225 Units/3 Stories,* Elevator * Business Center * Clubhouse * Lounge * Multi Use Room * Storage Space * Corporate Suites,* Gated * Courtyard * Grill * Picnic Area * Balcony * Lawn * Grill
[Montair Apartment Homes](https://www.apartments.com/montair-apartment-homes-thornton-co/c8m4s1d/),720-961-6046,"[8901 Grant St, Thornton, CO 80229](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/8901+Grant+St,+Thornton,+CO+80229/data=!4m2!4m1!3e2)",750 Sq Ft,"1,050 Sq Ft","$1,198 - 2,074",1198-1686,1279-2074,Dogs and Cats Allowed 3 pets maximum per household. Deposit and one-time fee are the same for 1-3 pet(s). $50 pet rent PER dog and $35 pet rent PER cat.  * $300 Deposit * $35 Monthly Pet Rent * $100 Fee * 95 lb Weight Limit * 2 Pet Limit,8.149999999999999 mi,15 mins,"Surface Lot: $8 1 space. one bed 1-car space, Two bedrm 2-car space",* Pool * Playground * Basketball Court * Tennis Court * Volleyball Court,* Dishwasher,"* Air Conditioner * Air Conditioning * Balconies, Patios, Or Decks * Cable Ready * Carpeting * Dishwasher * Disposal * European-Style Fixtures & Faucets* * European-Style Fixtures and Faucets * * Fireplace * * Garbage Disposal * In-Home Washer & Dryer * Package Receiving * Private Balcony, Patio, or Deck * Refrigerator * Skylight * * Updater Moving Partner * Upgraded Cabinets * Vaulted Ceilings * * Walk-In Closets * Washer/Dryer In Unit * Wheelchair Access * * Window Coverings",* High Speed Internet Access * Washer/Dryer * Air Conditioning * Wheelchair Accessible (Rooms),,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",* Package Service * Maintenance on site * Property Manager on Site * Public Transportation,* Built in 1984 * 320 Units/3 Stories,* Clubhouse,
[Canterra at Fitzsimons](https://www.apartments.com/canterra-at-fitzsimons-aurora-co/wx194jj/),844-624-1442,"[358 Potomac Way, Aurora, CO 80011](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/358+Potomac+Way,+Aurora,+CO+80011/data=!4m2!4m1!3e2)",592 - 604 Sq Ft,900 Sq Ft,"$1,105 - 2,240",1105-2240,,Dogs and Cats Allowed 3 pets maximum per household. Deposit and one-time fee are the same for 1-3 pet(s). $50 pet rent PER dog and $35 pet rent PER cat.  * $300 Deposit * $35 Monthly Pet Rent * $100 Fee * 3 Pet Limit,14.75 mi,22 mins,Covered and Other,* Pool * Playground,* Dishwasher,"* Air Conditioner * Balconies, Patios, Or Decks * Barbeque Area * BBQ Area * Cable Ready * Carpeting * Clubhouse with WiFi * Community Courtyard * Courtesy Patrol * Courtyard * Covered Parking * Dishwasher * Disposal * Electronic Thermostat * European-Style Fixtures and Faucets * * Extra Storage * Fireplace * Fireplaces * Fully Appointed Peek-A-Boo Kitchens * High Ceilings * In-Home Washer and Dryer * Large Closets * Large Walk-In Closets* * Microwave * One- and Two-Bedroom Apartment Homes * Open Landscaping * Package Receiving * Personal Balcony or Patio * Plank Flooring * * Playground * Professional On-Site Management and Maintenance * Refrigerator * Swimming Pool * Updater Moving Partner * View-Pool * Washer and Dryer In Each Unit * We Love Pets!* * Window Coverings * Wood-Style Flooring and Plush Carpeting*",* High Speed Internet Access * Washer/Dryer * Air Conditioning,,None,* Package Service * Property Manager on Site,* Built in 1985 * 188 Units/2 Stories,* Clubhouse,
[Skyline View](https://www.apartments.com/skyline-view-aurora-co/8rcgcz3/),866-702-8935,"[456 S Ironton St, Aurora, CO 80012](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/456+S+Ironton+St,+Aurora,+CO+80012/data=!4m2!4m1!3e2)",740 Sq Ft,879 Sq Ft,"$1,033 - 1,932",1033-1083,1273-1383,Dogs Allowed: No Aggressive Breeds 2 Pets Per Apartment  * $200 Deposit * $25 Monthly Pet Rent * $200 Fee * 15 lb Weight Limit * 1 Pet Limit,17.45 mi,26 mins,Surface Lot 1 space.,* Fitness Center * Pool * Walking/Biking Trails,* Dishwasher * Disposal * Microwave * Oven * Range * Refrigerator * Freezer,"* 1st Floor * 24 hr Emergency Maintenance Service * 4th Floor * BBQ Grills & Picnic Area * Beautiful Renovated 1-, 2-, & 3-Bedroom Home * Billiards Table * Black Appliances * Central Heat & Air Conditioning * Close to Shopping, Dining * Coin Operated Laundry Center On-Site * Convenient location * Copy & Fax services * Corner Unit * Easy Freeway Access * Electric Stove * Elevators * Emergency maintenance * Fireplace* * Fitness Center * Flexible lease terms available * Frost-free Refrigerator * Hardwood floors * Individually-controlled central air-conditioning and heating * Large Bedrooms * Large Closet Space * Loft area in Penthouse * New Cabinet * Newly Renovated Interiors * Online Maintenance Requests * Online payments accepted * Onsite Laundry Facilities * Over-Sized Windows* * Parking Lot & Off Street Parking * Pet-Friendly Community * Pets Allowed* * Picnic and BBQ Areas * Plank-Style Wood Flooring* * Poolside Gas Fire Pit * Professional Management Team * Proximity * Spacious Bedrooms with Large Walk-In Closets * Sparking Year-Round Heated Pool * Spectacular City & Mountain Views * Spectacular city & mountain views in select units * Spectacular City and Mountain Views* * Stainless Steel Appliance * Stainless Steel Appliances* * Stainless-Steel Appliances & New Cabinetry* * Stylish 1, 2 & 3 Bedrooms * Urban Renovation * Vaulted Ceilings & Oversized Windows* * Vaulted Ceilings in Select Homes * Walking Distance to Grocery Store * Walking Distance to Havana Gardens * Wood Burning Fireplace* * Wood Burning Fireplaces in select units* * Wood Style Flooring * Wood Wall",* High Speed Internet Access * Air Conditioning * Heating * Ceiling Fans * Cable Ready * Tub/Shower * Fireplace,* Hardwood Floors * Carpet * Vinyl Flooring * Dining Room * Views * Walk-In Closets * Linen Closet * Loft Layout * Window Coverings,None,* Package Service * Wi-Fi at Pool and Clubhouse * Laundry Facilities * Maintenance on site * Property Manager on Site * Renters Insurance Program,* Built in 1974 * Renovated in Jan 2007 * 112 Units/4 Stories,* Elevator * Business Center,* Courtyard * Grill * Picnic Area
[Park Place at 92nd Apartments](https://www.apartments.com/park-place-at-92nd-apartments-westminster-co/d93z7wl/),866-913-5497,"[9081 Federal Blvd, Westminster, CO 80260](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/9081+Federal+Blvd,+Westminster,+CO+80260/data=!4m2!4m1!3e2)",616 Sq Ft,855 Sq Ft,"$1,032 - 6,005",1032-2348,1176-3173,"Dogs Allowed Park Place at 92nd welcomes your pet! Our apartments accommodate up to two pets per home, with no weight limit. Dog fee $200 for one, $300 for two. Additional deposits and breed restrictions apply.  * $200 Deposit * $25 Monthly Pet Rent * $300 - 600 Fee * 2 Pet Limit",9.9 mi,16 mins,Surface Lot 1 space.,* Fitness Center * Playground,* Dishwasher * Disposal * Eat-in Kitchen * Kitchen * Range * Refrigerator,"* 24-hour Emergency Maintenance * After Hours Courtesy Patrol * Bark Park * Brand New Clubhouse Coming Spring 2017 * Breakfast Bar* * Business Center * Cable & High Speed Internet Ready * Central Heating & Air * Close to Shopping, Dining and Entertainment * Easy Freeway Access * Individual Climate Control * Large Balcony/Patio * NightPatrol * Open Layouts * Other * Private Fenced-in Patio* * Private Storage Units * Separate Coat Closet * Separate Dining Area * Shimmering Pool with Sun Deck * Short Term Available * Spacious Linen Closet * Window Coverings",* High Speed Internet Access * Air Conditioning * Heating * Ceiling Fans * Cable Ready * Tub/Shower,* Carpet * Vinyl Flooring * Dining Room * Walk-In Closets * Window Coverings,,* Package Service * Laundry Facilities * Maintenance on site * Property Manager on Site * Laundry Service * Public Transportation,* Built in 1974 * 228 Units/3 Stories,,
[Regatta](https://www.apartments.com/regatta-northglenn-co/x7tm96q/),844-201-3839,"[10500 Irma Dr, Northglenn, CO 80233](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/10500+Irma+Dr,+Northglenn,+CO+80233/data=!4m2!4m1!3e2)",673 Sq Ft,"1,028 Sq Ft","$1,402 - 2,662",1402-2017,1537-2219,Dogs Allowed * $200 Deposit * $25 Monthly Pet Rent * $400 Fee * 40 lb Weight Limit * 2 Pet Limit,11.45 mi,19 mins,Surface Lot 1 space.,* Fitness Center * Spa * Pool * Playground * Bike Storage * Basketball Court * Tennis Court * Volleyball Court * Walking/Biking Trails * Media Center/Movie Theatre,* Dishwasher * Disposal * Ice Maker * Stainless Steel Appliances * Eat-in Kitchen * Kitchen * Microwave * Oven * Range * Refrigerator * Freezer,* 9-Foot Ceilings with Crown Molding* * Barbecue Area with Fire Pit * Beautiful Landscaping * Bike Repair * Built-in Microwave * Ceiling Fans* * Complimentary Access to DVD Library * Custom Tile Entryways * Dishwasher * Dog Wash * Extra Storage * Full-Size Washer/Dryer Connections * Garbage Disposal * Gas-Burning Fireplaces* * Gourmet Kitchens * Intrusion Alarm Systems * Large Oval Tubs* * Media Center & Theater * Mountain Views * New/Renovated Interior * Online Rental Payment * Package Acceptance At The Office * Personal Storage Areas * Pet Exercise Park * Pet Friendly * Private Patios/Balconies * Resident Referral Programs * Splash Park * Stainless Steel Appliances * Tanning Bed * Walk-in Closets * White-on-White Appliances,* High Speed Internet Access * Washer/Dryer * Washer/Dryer Hookup * Air Conditioning * Heating * Ceiling Fans * Smoke Free * Cable Ready * Security System * Storage Units * Tub/Shower * Fireplace * Sprinkler System * Wheelchair Accessible (Rooms),* Hardwood Floors * Carpet * Dining Room * Den * Built-In Bookshelves * Crown Molding * Vaulted Ceiling * Bay Window * Views * Walk-In Closets * Linen Closet * Window Coverings,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12",* Package Service * Laundry Facilities * Controlled Access * Maintenance on site * Property Manager on Site * 24 Hour Availability,* Built in 2000 * 352 Units/2 Stories,* Business Center * Clubhouse * Storage Space * Tanning Salon,* Gated * Fenced Lot * Sundeck * Grill * Balcony * Patio * Porch * Deck * Grill
[Loretto Heights](https://www.apartments.com/loretto-heights-denver-co/qkgj2ry/),844-883-1562,"[3400 S Lowell Blvd, Denver, CO 80236](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/3400+S+Lowell+Blvd,+Denver,+CO+80236/data=!4m2!4m1!3e2)",800 Sq Ft,966 Sq Ft,"$1,235 - 2,081",1235-2039,1430-2081,Dogs and Cats Allowed * $35 Monthly Pet Rent * $350 Fee * 2 Pet Limit,10.0 mi,21 mins,Surface Lot,* Fitness Center * Spa * Pool * Playground * Basketball Court * Tennis Court * Volleyball Court,* Dishwasher * Disposal * Ice Maker * Stainless Steel Appliances * Kitchen * Oven * Range * Refrigerator * Freezer,* Air Conditioner * Brushed Nickel Finishes * Cabana with Western Facing View * Carpeting * Carport * Ceiling Fan * Central Heat and Air * Contemporary Modern Light Fixtures * Contemporary Urban Renovations * Cozy Gas Fireplace * Cyber Cafe * Dishwasher * Disposal * Dog Park * Dog Wash * Espresso Cabinetry * Extra Storage * Full Size Washer and Dryer * Gourmet Kitchens * Hardwood Floors * High Speeds Internet Available * King Size Bedroom * Large Bedrooms * Large Walk in Closets * Large Windows for Natural Light * Mature Landscaping * Multiple BBQ Grills * Off Street Parking * Oversized Closets * Pantries * Partnered With EPremiuminsurance.Com * Private Balconies/Patioa * Refrigerator * Skylight * Soccer Field * Spacious Floor Plans * Spanish Speaking Staff * Spectacular City & Mountain Views * Stainless Steel Appliances * Two Swimming Pools * Vaulted Ceilings * Within 5 Minutes of Riverpoint Parkway * Yoga Room,* High Speed Internet Access * Washer/Dryer * Washer/Dryer Hookup * Air Conditioning * Heating * Ceiling Fans * Cable Ready * Satellite TV * Storage Units * Tub/Shower * Fireplace,* Hardwood Floors * Carpet * Vinyl Flooring * Dining Room * Family Room * Office * Vaulted Ceiling * Views * Skylight * Linen Closet * Double Pane Windows * Window Coverings,None,* Package Service * Wi-Fi at Pool and Clubhouse * Maintenance on site * Property Manager on Site * 24 Hour Availability * Recycling * Renters Insurance Program * Online Services * Planned Social Activities * Pet Play Area * Pet Washing Station,* Built in 1988 * 312 Units/3 Stories,* Business Center * Clubhouse * Lounge * Storage Space,* Fenced Lot * Sundeck * Grill * Picnic Area * Balcony * Patio * Porch * Deck * Grill
[Skyhouse Denver](https://www.apartments.com/skyhouse-denver-denver-co/b9pj0nb/),844-261-1642,"[1776 Broadway St, Denver, CO 80202](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/1776+Broadway+St,+Denver,+CO+80202/data=!4m2!4m1!3e2)",636 Sq Ft,"1,029 Sq Ft","$1,500 - 2,775",1545-2005,2410-2775,"Dogs Allowed: 0 Fees/Deposits are per pet. We do not allow Pit Bulls or any mix combination of this breed. Based on our community’s location, there may be other breed restrictions that we follow in accordance with laws and local ordinances.  * $100 Deposit * $30 Monthly Pet Rent * $250 Fee * 3 Pet Limit",1.1 mi,7 mins,Surface Lot,* Fitness Center * Pool,* Dishwasher * Disposal * Microwave * Refrigerator,* ADA Accessible * Air Conditioner * Baths * Cable Ready * Designer tile surround in shower and bathtubs * Dishwasher * Efficient Appliances * Garden Tub/Shower * Glass Enclosed Shower * Hardwood Floors * Microwave * No Smoking * Off Street Parking * Package Receiving * Parking Off Street * Patio/Balcony * Private and spacious balconies in most apartments * Quartz Countertops * Recycling * Refrigerator * Rooftop * Sleek designer tile accents * Smoke Free Living * Smoke-free Community * View * Washer & Dryer in unit * Window Coverings,* High Speed Internet Access * Washer/Dryer * Tub/Shower,* Views * Walk-In Closets,Flexible terms,,* Built in 2017 * 354 Units/25 Stories,* Elevator * Business Center * Lounge,* Balcony * Patio
[Green Leaf Rockvue](https://www.apartments.com/green-leaf-rockvue-broomfield-co/1sf8k94/),866-680-7958,"[250-250 Summit Blvd, Broomfield, CO 80021](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/250-250+Summit+Blvd,+Broomfield,+CO+80021/data=!4m2!4m1!3e2)",810 - 824 Sq Ft,"1,114 Sq Ft","$1,450 - 2,925",1450-2100,1850-2925,"Dogs Allowed: BREED RESTRICTIONS APPLY* $200 deposit/$200 fee for cats & dogs 12 months and older. $400 deposit/$400 fee for dogs under 12 months old. Limit 2 pets per apartment. All fees and deposits are per pet. Dogs under the age of one require a $400 deposit, $400 pet fee & $25 per month in rent.  * $400 Deposit * $50 Monthly Pet Rent * $200 - 400 Fee * 60 lb Weight Limit * 2 Pet Limit",18.05 mi,24 mins,Surface Lot 1 space.,* Fitness Center * Spa * Pool * Bike Storage * Gameroom,* Dishwasher * Disposal * Ice Maker * Stainless Steel Appliances * Island Kitchen * Microwave * Range * Refrigerator * Freezer,"* 1 & 2 Bedroom Apartments Broomfield, CO * Adjacent to a 300 Acre Championship Golf Course * And much more! * Balconies * Bike Repair Room * Cyber Lounge * Cyber-Lounge * Dog Park * Dog Wash * Double Sink Vanities * Double Sink Vanities* * Full-size, Stackable Washer and Dryer * Game Room * High-end Finishes * Large Sparkling Pool & Spa Retreat * Modern Lighting & Hardwired * Modern, Open Designs * Onsite Dog Park * Onsite Fitness Center * Other * Outdoor Ramada with Fireplace * Oversized Tubs * Plank Wood - Style Flooring * Play Area * Private Garages * Quartz Countertops * Regional Trail * Stainless Steel Appliances * State-of-the-Art Clubhouse * Stunning Mountain and Golf Course Views * Tanning Room * Walking Distance to Flatirons Mall",* High Speed Internet Access * Washer/Dryer * Air Conditioning * Heating * Ceiling Fans * Smoke Free * Cable Ready * Storage Units * Double Vanities * Wheelchair Accessible (Rooms),* Hardwood Floors * Carpet * Views * Walk-In Closets * Window Coverings,"2 months,3 months,6 months,7 months,9 months,12 months",* Package Service * Laundry Facilities * Maintenance on site * Property Manager on Site * Pet Play Area * Pet Washing Station,* Built in 2014 * 220 Units/3 Stories,* Business Center * Clubhouse * Lounge * Storage Space * Tanning Salon,* Courtyard * Grill * Picnic Area * Balcony * Patio * Grill
[The Lodge Apartment Homes](https://www.apartments.com/the-lodge-apartment-homes-denver-co/0bj8c60/),866-604-5860,"[4625-4697 E Louisiana Ave, Denver, CO 80246](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/4625-4697+E+Louisiana+Ave,+Denver,+CO+80246/data=!4m2!4m1!3e2)",654 Sq Ft,933 Sq Ft,"$1,130 - 3,678",1130-3678,1392-3612,"Dogs Allowed The Lodge welcomes your pet! Our apartments accommodate up to two pets per home, with no weight limit. Additional deposits and breed restrictions apply. Your pets will love it here!  * $300 Deposit * $35 Monthly Pet Rent * $300 Fee * 2 Pet Limit",9.45 mi,18 mins,Surface Lot 1 space. Ample Parking.,* Spa * Pool * Basketball Court,* Dishwasher * Microwave * Range * Refrigerator,"* 24-Hour Fitness Center * Brushed Nickel Hardware * Close to Shopping, Dining, Entertainment and Much More! * Currently being renovated * Enjoy New Interior Upgrades * Flexible Lease Options * Individual Climate Control * Laundry Facility * NightPatrol * Other * Soccer Court * Stainless Steel Appliances * Updated Lighting Fixtures * Updated Plumbing Fixtures",* High Speed Internet Access * Air Conditioning * Heating,,,* Maintenance on site,* Built in 1970 * Renovated in Jan 2017 * 287 Units/5 Stories,* Business Center * Clubhouse,* Courtyard * Balcony
